Publication title,Link,Abstract,Date,Author information
predicting primary sequence-based protein-protein interactions using a mercer series representation of nonlinear support vector machine,https://pureportal.coventry.ac.uk/en/publications/predicting-primary-sequence-based-protein-protein-interactions-us,The prediction of protein-protein interactions (PPIs) is essential to understand the cellular processes from a medical perspective...,1 Dec 2022,"['Omid Chatrabgoun, https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
predicting the public adoption of connected and autonomous vehicles,https://pureportal.coventry.ac.uk/en/publications/predicting-the-public-adoption-of-connected-and-autonomous-vehicl,Connected and Autonomous Vehicles (CAV) are gaining increasing importance due to the current needs of modern society for better mobility and societal impact...,11 Oct 2021,"['Mohammed Lawal Ahmed, https://pureportal.coventry.ac.uk/en/persons/mohammed-ahmed', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
privacy enhancing technologies (pets) for connected vehicles in smart cities,https://pureportal.coventry.ac.uk/en/publications/privacy-enhancing-technologies-pets-for-connected-vehicles-in-sma,"Many Experts believe that the Internet of Things (IoT) is a new revolution in technology that has brought many benefits for our organizations, businesses, and industries...",18 Nov 2020,"['Faye Mitchell, https://pureportal.coventry.ac.uk/en/persons/faye-mitchell']"
rapid localization and mapping method based on adaptive particle filters,https://pureportal.coventry.ac.uk/en/publications/rapid-localization-and-mapping-method-based-on-adaptive-particle-,"With the development of autonomous vehicles, localization and mapping technologies have become crucial to equip the vehicle with the appropriate knowledge for its operation...",2 Dec 2022,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
rdpsovina: the random drift particle swarm optimization for protein-ligand docking,https://pureportal.coventry.ac.uk/en/publications/rdpsovina-the-random-drift-particle-swarm-optimization-for-protei,"Protein-ligand docking is of great importance to drug design, since it can predict the binding affinity between ligand and protein, and guide the synthesis direction of the lead compounds...",9 May 2022,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
resilient consensus control design for dc microgrids against false data injection attacks using a distributed bank of sliding mode observers,https://pureportal.coventry.ac.uk/en/publications/resilient-consensus-control-design-for-dc-microgrids-against-fals,This paper investigates the problem of false data injection attack (FDIA) detection in microgrids...,30 Mar 2022,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
"review of clogs and shawls: mormons, moorlands, and the search for zion",https://pureportal.coventry.ac.uk/en/publications/review-of-clogs-and-shawls-mormons-moorlands-and-the-search-for-z,"Review of Clogs and Shawls: Mormons, Moorlands, and the Search for Zion Ann Chamberlin...",1 Jan 2022,"['Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford']"
saving research budgets by improving algebraic tools for the study of population dynamics,https://pureportal.coventry.ac.uk/en/publications/saving-research-budgets-by-improving-algebraic-tools-for-the-stud,not available,7 Mar 2022,"['AmirHosein Sadeghimanesh, https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh']"
sc-square: future progress with machine learning,https://pureportal.coventry.ac.uk/en/publications/sc-square-future-progress-with-machine-learning,"The algorithms employed by our communities are often underspecified, and thus have multiple implementation choices, which do not effect the correctness of the output, but do impact the efficiency or even tractability of its production...",14 Nov 2022,"['Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
sc-square: overview to 2021.,https://pureportal.coventry.ac.uk/en/publications/sc-square-overview-to-2021,"This extended abstract was written to accompany an invited talk at the 2021 SC-Square Workshop, where the author was asked to give an overview of SC-Square progress to date...",14 Nov 2022,"['Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
stable likelihood computation for machine learning of linear differential operators with gaussian processes,https://pureportal.coventry.ac.uk/en/publications/stable-likelihood-computation-for-machine-learning-of-linear-diff,"In many applied sciences, the main aim is to learn the parameters in the operational equations which best fit the observed data...",20 Apr 2022,"['Omid Chatrabgoun, https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
switching trackers for effective sensor fusion in advanced driver assistance systems,https://pureportal.coventry.ac.uk/en/publications/switching-trackers-for-effective-sensor-fusion-in-advanced-driver,Modern cars utilise Advanced Driver Assistance Systems (ADAS) in several ways...,3 Nov 2022,"['Ankur Deo, https://pureportal.coventry.ac.uk/en/persons/ankur-deo', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
the benefits of clustering in cylindrical algebraic decomposition,https://pureportal.coventry.ac.uk/en/publications/the-benefits-of-clustering-in-cylindrical-algebraic-decomposition,"Cylindrical Algebraic Decomposition (CAD) is a very powerful algorithm with many potential applications, however, its doubly exponential complexity limits its usability...",2022,"['Tereso del Río, https://pureportal.coventry.ac.uk/en/persons/tereso-del-r%C3%ADo-almajano', 'Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
"the politics of matching: ethnicity, religion and muslim-heritage children in care in the uk",https://pureportal.coventry.ac.uk/en/publications/the-politics-of-matching-ethnicity-religion-and-muslim-heritage-c,"In 2014, in order to improve outcomes for children from ethnic minority backgrounds and to speed up the adoption process, the UK government changed the Children and Families Act...",20 Apr 2022,"['Sariya Cheruvallil-Contractor, https://pureportal.coventry.ac.uk/en/persons/sariya-cheruvallil-contractor', 'Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Sariya Cheruvallil-Contractor, https://pureportal.coventry.ac.uk/en/persons/sariya-cheruvallil-contractor', 'Cheruvallil-Contractor, S., https://pureportal.coventry.ac.uk/en/persons/sariya-cheruvallil-contractor', 'Halford, A., https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Cheruvallil-Contractor, S., https://pureportal.coventry.ac.uk/en/persons/sariya-cheruvallil-contractor', 'Halford, A., https://pureportal.coventry.ac.uk/en/persons/alison-halford']"
the practice of ai and ethics in energy transition futures,https://pureportal.coventry.ac.uk/en/publications/the-practice-of-ai-and-ethics-in-energy-transition-futures,"With greater implementation of Artificial Intelligence (AI) and big data as part of the transition towards digitalisation of the UK energy sector, there is a need for greater clarity around how ethics and ethical practices are understood and applied by stakeholders...",4 Jul 2022,"['Kathryn Stamp, https://pureportal.coventry.ac.uk/en/persons/kathryn-stamp', 'Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Elena Gaura, https://pureportal.coventry.ac.uk/en/persons/elena-gaura']"
topic modelling in precision medicine with its applications in personalized diabetes management,https://pureportal.coventry.ac.uk/en/publications/topic-modelling-in-precision-medicine-with-its-applications-in-pe,"Advances in Internet of Things (IoT) and analytic-based systems in the past decade have found several applications in medical informatics, and have significantly facilitated healthcare decision making...",18 Jul 2021,"['Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
transfer learning based classification of diabetic retinopathy on the kaggle eyepacs dataset,https://pureportal.coventry.ac.uk/en/publications/transfer-learning-based-classification-of-diabetic-retinopathy-on,Severe stages of diabetes can eventually lead to an eye conditioncalled diabetic retinopathy...,15 Nov 2022,"['Maria Tariq, https://pureportal.coventry.ac.uk/en/persons/maria-tariq', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
trustworthiness of systematic review automation: an interview at coventry university,https://pureportal.coventry.ac.uk/en/publications/trustworthiness-of-systematic-review-automation-an-interview-at-c,not available,2022,"['Xiaorui Jiang, https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang']"
using machine learning for anomaly detection on a system-on-chip under gamma radiation,https://pureportal.coventry.ac.uk/en/publications/using-machine-learning-for-anomaly-detection-on-a-system-on-chip-,The emergence of new nanoscale technologies has imposed significant challenges to designing reliable electronic systems in radiation environments...,5 Jan 2022,"['Server Kasap, https://pureportal.coventry.ac.uk/en/persons/server-kasap', 'Kasap, S., https://pureportal.coventry.ac.uk/en/persons/server-kasap']"
using machine learning for anomaly detection on a system-on-chip under gamma radiation,https://pureportal.coventry.ac.uk/en/publications/using-machine-learning-for-anomaly-detection-on-a-system-on-chip--2,The emergence of new nanoscale technologies has imposed significant challenges to designing reliable electronic systems in radiation environments...,30 Jun 2022,"['Server Kasap, https://pureportal.coventry.ac.uk/en/persons/server-kasap', 'Kasap, S., https://pureportal.coventry.ac.uk/en/persons/server-kasap']"
using machine learning in sc2,https://pureportal.coventry.ac.uk/en/publications/using-machine-learning-in-sc2,"This talk exposes many possible uses of Machine Learning (ML) in the context of SC2, and how this approach differs from human-made heuristics...",23 Aug 2022,"['Tereso del Río, https://pureportal.coventry.ac.uk/en/persons/tereso-del-r%C3%ADo-almajano']"
using multi-objective optimisation with adm1 and measured data to improve the performance of an existing anaerobic digestion system,https://pureportal.coventry.ac.uk/en/publications/using-multi-objective-optimisation-with-adm1-and-measured-data-to,This paper presents a method to model and optimise the substrate feeding rate of an anaerobic digestion (AD) system...,16 Apr 2022,"['R.J. Ashraf, https://pureportal.coventry.ac.uk/en/persons/rjaa-jawad-ashraf', 'J.D. Nixon, https://pureportal.coventry.ac.uk/en/persons/jonathan-nixon', 'J. Brusey, https://pureportal.coventry.ac.uk/en/persons/james-brusey']"
using physics-informed neural networks to model the hydro-morphodynamics of mangrove environments,https://pureportal.coventry.ac.uk/en/publications/using-physics-informed-neural-networks-to-model-the-hydro-morphod,not available,9 Dec 2022,"['Majdi Fanous, https://pureportal.coventry.ac.uk/en/persons/majdi-fanous']"
word representation using refined contexts,https://pureportal.coventry.ac.uk/en/publications/word-representation-using-refined-contexts,"In this paper, inspired from the idea that the contextual distances and positions may have a substantial impact on distinguishing the relationships between words, a novel word association method with two weighting schemes for refining contexts, named as Weighted Point-wise Mutual Information with Contextual Distances and Positions (PMIDP), is proposed to eliminate the noisy and redundant information hidden in an imbalanced corpus...",4 Feb 2022,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
access point selection strategies for indoor 5g millimeter-wave distributed antenna systems,https://pureportal.coventry.ac.uk/en/publications/access-point-selection-strategies-for-indoor-5g-millimeter-wave-d,"In this paper, we study the use of three candidate Access Point (AP) selection mechanisms for use with indoor millimetre-wave (mmWave) Distributed Antenna Systems (DASs)...",27 Apr 2021,"['Seong Ki Yoo, https://pureportal.coventry.ac.uk/en/persons/seongki-yoo']"
adversarial learning on incomplete and imbalanced medical data for robust survival prediction of liver transplant patients,https://pureportal.coventry.ac.uk/en/publications/adversarial-learning-on-incomplete-and-imbalanced-medical-data-fo,The scarcity of liver transplants necessitates prioritizing patients based on their health condition to minimize deaths on the waiting list...,17 May 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
a full-parallel implementation of self-organizing maps on hardware,https://pureportal.coventry.ac.uk/en/publications/a-full-parallel-implementation-of-self-organizing-maps-on-hardwar,Self-Organizing Maps (SOMs) are extensively used for data clustering and dimensionality reduction...,21 May 2021,"['Elena Gaura, https://pureportal.coventry.ac.uk/en/persons/elena-gaura']"
a hybrid framework for brain tissue segmentation in magnetic resonance images,https://pureportal.coventry.ac.uk/en/publications/a-hybrid-framework-for-brain-tissue-segmentation-in-magnetic-reso,Having a robust image segmentation strategy is very important in magnetic resonance image (MRI) processing for an effective and early disease detection and diagnosis...,3 Aug 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
a hybrid framework for detecting and eliminating cyber-attacks in power grids,https://pureportal.coventry.ac.uk/en/publications/a-hybrid-framework-for-detecting-and-eliminating-cyber-attacks-in,The work described in this paper aims to detect and eliminate cyber-attacks in smart grids that disrupt the process of dynamic state estimation...,15 Sept 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
a jump-markov regularized particle filter for the estimation of ambiguous sensor faults,https://pureportal.coventry.ac.uk/en/publications/a-jump-markov-regularized-particle-filter-for-the-estimation-of-a,Sensor or actuator faults occurring on a Unmanned Aerial Vehicle (UAV) can compromise the system integrity...,14 Apr 2021,"['James Brusey, https://pureportal.coventry.ac.uk/en/persons/james-brusey']"
analysis of standalone solar streetlights for improved energy access in displaced settlements,https://pureportal.coventry.ac.uk/en/publications/analysis-of-standalone-solar-streetlights-for-improved-energy-acc,This paper examines the gap between the design and in-situ performance of solar streetlight interventions in two humanitarian settings...,30 May 2021,"['Jonathan Nixon, https://pureportal.coventry.ac.uk/en/persons/jonathan-nixon', 'Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Elena Gaura, https://pureportal.coventry.ac.uk/en/persons/elena-gaura']"
an empirical study of span modeling in science ner,https://pureportal.coventry.ac.uk/en/publications/an-empirical-study-of-span-modeling-in-science-ner,Little evaluation has been performed on the many modeling options for span-based approaches...,7 Sept 2021,"['Xiaorui Jiang, https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang']"
a new fuzzy knowledge-based optimisation system for management of container yard operations,https://pureportal.coventry.ac.uk/en/publications/a-new-fuzzy-knowledge-based-optimisation-system-for-management-of,Managing the container yard operations can be challenging as a result of various uncertainties associated with storing and retrieving containers from the yard...,26 Mar 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
an improved fuzzy knowledge-based model for long stay container yards,https://pureportal.coventry.ac.uk/en/publications/an-improved-fuzzy-knowledge-based-model-for-long-stay-container-y,This paper considers the problem of allocating newly arrived containers to stacks of existing containers in a yard  when the departure date/time for containers is unknown...,10 Jun 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
a probabilistic predictive model for assessing the economic reusability of load-bearing building components: developing a circular economy framework,https://pureportal.coventry.ac.uk/en/publications/a-probabilistic-predictive-model-for-assessing-the-economic-reusa,The reuse of load-bearing building components has the potential to promote the circular economy in the building sector...,26 Jan 2021,"['Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
a quaternion gated recurrent unit neural network for sensor fusion,https://pureportal.coventry.ac.uk/en/publications/a-quaternion-gated-recurrent-unit-neural-network-for-sensor-fusio,Recurrent Neural Networks (RNNs) are known for their ability to learn relationships within temporal sequences...,9 Mar 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'Stavros Christopoulos, https://pureportal.coventry.ac.uk/en/persons/stavros-christopoulos']"
a review on collision avoidance systems for unmanned aerial vehicles,https://pureportal.coventry.ac.uk/en/publications/a-review-on-collision-avoidance-systems-for-unmanned-aerial-vehic,The unmanned Aerial Vehicles (UAV) concept has attracted the attention of both academia and industry as an alternative to reduce the traffic congestion limitation...,7 Dec 2021,"['Seongki Yoo, https://pureportal.coventry.ac.uk/en/persons/seongki-yoo']"
"a time series based study of correlation, channel power imbalance and diversity gain in indoor distributed antenna systems at 60 ghz",https://pureportal.coventry.ac.uk/en/publications/a-time-series-based-study-of-correlation-channel-power-imbalance-,"In this article, we investigate the potential enhancements in signal reliability which can be achieved using a millimeter-wave distributed antenna system (DAS) within an indoor environment...",4 May 2021,"['Seong Ki Yoo, https://pureportal.coventry.ac.uk/en/persons/seongki-yoo']"
bispectrum-based cross-frequency functional connectivity: a study of alzheimer’s disease,https://pureportal.coventry.ac.uk/en/publications/bispectrum-based-cross-frequency-functional-connectivity-a-study-,Alzheimer’s disease (AD) is a neurodegenerative disorder known to affect functional connectivity (FC) across many brain regions...,8 Aug 2021,"['Dominik Klepl, https://pureportal.coventry.ac.uk/en/persons/dominik-klepl', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
building capacity: heed skills audit and recommendations:  heed skills audit and recommendations,https://pureportal.coventry.ac.uk/en/publications/building-capacity-heed-skills-audit-and-recommendations-heed-skil,"This report aims to explore how HEED approached and delivered capacity building for the research team, project partners and the communities the team worked within Rwanda and Nepal...",24 Mar 2021,"['Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Gaura, E., https://pureportal.coventry.ac.uk/en/persons/elena-gaura', 'Nixon, J., https://pureportal.coventry.ac.uk/en/persons/jonathan-nixon']"
centralised and decentralised sensor fusion‐based emergency brake assist,https://pureportal.coventry.ac.uk/en/publications/centralised-and-decentralised-sensor-fusionbased-emergency-brake-,"Many advanced driver assistance systems (ADAS) are currently trying to utilise multi-sensor architectures, where the driver assistance algorithm receives data from a multitude of sen-sors...",11 Aug 2021,"['Ankur Deo, https://pureportal.coventry.ac.uk/en/persons/ankur-deo', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
characterising alzheimer's disease with eeg-based energy landscape analysis,https://pureportal.coventry.ac.uk/en/publications/characterising-alzheimers-disease-with-eeg-based-energy-landscape,"Alzheimer's disease (AD) is one of the most common neurodegenerative diseases, with around 50 million patients worldwide...",19 Feb 2021,"['Dominik Klepl, https://pureportal.coventry.ac.uk/en/persons/dominik-klepl', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
csi-cop policy brief 1: how citizen science can add value to investigate compliance of the general data protection regulation (gdpr). ,https://pureportal.coventry.ac.uk/en/publications/csi-cop-policy-brief-1-how-citizen-science-can-add-value-to-inves,Online tracking is out of control...,30 Mar 2021,"['Huma Shah, https://pureportal.coventry.ac.uk/en/persons/huma-shah']"
csi-cop - 'your right to privacy online',https://pureportal.coventry.ac.uk/en/publications/csi-cop-your-right-to-privacy-online,not available,2021,"['Huma Shah, https://pureportal.coventry.ac.uk/en/persons/huma-shah', 'Jaimz Winter, https://pureportal.coventry.ac.uk/en/persons/jaimz-winter']"
deciding the consistency of non-linear real arithmetic constraints with a conflict driven search using cylindrical algebraic coverings,https://pureportal.coventry.ac.uk/en/publications/deciding-the-consistency-of-non-linear-real-arithmetic-constraint,"We present a new algorithm for determining the satisfiability of conjunctions of non-linear polynomial constraints over the reals, which can be used as a theory solver for satisfiability modulo theory (SMT) solving for non-linear real arithmetic...",27 Nov 2020,"['Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
diversity collaboratively guided random drift particle swarm optimization,https://pureportal.coventry.ac.uk/en/publications/diversity-collaboratively-guided-random-drift-particle-swarm-opti,The random drift particle swarm optimization (RDPSO) algorithm is an effective random search technique inspired by the trajectory analysis of the canonical PSO and the free electron model in metal conductors placed in an external electric field...,13 Jul 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
dmo-qpso: a multi-objective quantum-behaved particle swarm optimization algorithm based on decomposition with diversity control,https://pureportal.coventry.ac.uk/en/publications/dmo-qpso-a-multi-objective-quantum-behaved-particle-swarm-optimiz,The decomposition-based multi-objective evolutionary algorithm (MOEA/D) has shown remarkable effectiveness in solving multi-objective problems (MOPs)...,16 Aug 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
economic evaluation of mental health effects of flooding using bayesian networks,https://pureportal.coventry.ac.uk/en/publications/economic-evaluation-of-mental-health-effects-of-flooding-using-ba,The appraisal of appropriate levels of investment for devising flooding mitigation and to support recovery interventions is a complex and challenging task...,13 Jul 2021,"['Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
efficient activity recognition using lightweight cnn and ds-gru network for surveillance applications,https://pureportal.coventry.ac.uk/en/publications/efficient-activity-recognition-using-lightweight-cnn-and-ds-gru-n,"Recognizing human activities has become a trend in smart surveillance that contains several challenges, such as performing effective analyses of huge video data streams, while maintaining low computational complexity, and performing this task in real-time...",15 Jan 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
ensure: energy & accuracy aware fault-tolerant scheduling on real-time heterogeneous systems,https://pureportal.coventry.ac.uk/en/publications/ensure-energy-amp-accuracy-aware-fault-tolerant-scheduling-on-rea,"This paper proposes an energy efficient real-time scheduling strategy called EnSuRe, which (i) executes real-time tasks on low power consuming primary processors to enhance the system accuracy by maintaining the deadline and (ii) provides reliability against a fixed number of transient faults by selectively executing backup tasks on high power consuming backup processor...",26 Jul 2021,"['Server Kasap, https://pureportal.coventry.ac.uk/en/persons/server-kasap']"
evaluation of a switched combining based distributed antenna system (das) for pedestrian-to-vehicle communications,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-a-switched-combining-based-distributed-antenna-syst,"The safety of vulnerable road users is paramount, particularly as we move towards the widespread adoption of autonomous and self-driving vehicles...",5 Aug 2021,"['Seongki Yoo, https://pureportal.coventry.ac.uk/en/persons/seongki-yoo', 'Sujan Rajbhandari, https://pureportal.coventry.ac.uk/en/persons/sujan-rajbhandari']"
finding the uncomfortable solution: responsible innovation in humanitarian energy,https://pureportal.coventry.ac.uk/en/publications/finding-the-uncomfortable-solution-responsible-innovation-in-huma,"In response to the increasing number of displaced people, the humanitarian sector is exploring innovation as a framework to improve the delivery of the Sustainable Development Goals (SDGs)...",5 Oct 2021,"['Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Elena Gaura, https://pureportal.coventry.ac.uk/en/persons/elena-gaura']"
generation of pedestrian crossing scenarios using ped-cross generative adversarial network,https://pureportal.coventry.ac.uk/en/publications/generation-of-pedestrian-crossing-scenarios-using-ped-cross-gener,The safety of vulnerable road users is of paramount importance as transport moves towards fully automated driving...,6 Jan 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
generative adversarial network-based scheme for diagnosing faults in cyber-physical power systems,https://pureportal.coventry.ac.uk/en/publications/generative-adversarial-network-based-scheme-for-diagnosing-faults,This paper presents a novel diagnostic framework for distributed power systems that is based on using generative adversarial networks for generating artificial knockoffs in the power grid...,30 Jul 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
guest editorial: special issue on deep representation and transfer learning for smart and connected health,https://pureportal.coventry.ac.uk/en/publications/guest-editorial-special-issue-on-deep-representation-and-transfer,Deep neural networks (NNs) have been proved to be efficient learning systems for supervised and unsupervised tasks...,4 Feb 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
improving algebraic tools to study bifurcation sequences of population models,https://pureportal.coventry.ac.uk/en/publications/improving-algebraic-tools-to-study-bifurcation-sequences-of-popul,Since being introduced by Collins in the 1970s Cylindrical Algebraic Decomposition has found many applications...,14 Sept 2021,"['AmirHosein Sadeghimanesh, https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh', 'Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
improving skin cancer classification using heavy-tailed student t-distribution in generative adversarial networks (ted-gan),https://pureportal.coventry.ac.uk/en/publications/improving-skin-cancer-classification-using-heavy-tailed-student-t,"Deep learning has gained immense attention from researchers in medicine, especially in medical imaging...",19 Nov 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
investigating the effects of two fragrances on cabin comfort in an automotive environment,https://pureportal.coventry.ac.uk/en/publications/investigating-the-effects-of-two-fragrances-on-cabin-comfort-in-a,"BACKGROUND: For passengers in private or public transportation systems, comfort is a major interest...",8 Jan 2021,"['James Brusey, https://pureportal.coventry.ac.uk/en/persons/james-brusey']"
investigating the effects of two fragrances on comfort in the automotive context,https://pureportal.coventry.ac.uk/en/publications/investigating-the-effects-of-two-fragrances-on-comfort-in-the-aut,"What is this the impact of olfactory and visual factors on overall comfort? Can these factors have an effect on the perception of thermal comfort? These questions are particularly interesting in the context of a vehicle car cabin, since it leads to the possibility of visual or olfactory cues being used to maintain passenger thermal comfort at a lower energy cost...",8 Jan 2021,"['James Brusey, https://pureportal.coventry.ac.uk/en/persons/james-brusey']"
iot-enabled light intensity-controlled seamless highway lighting system,https://pureportal.coventry.ac.uk/en/publications/iot-enabled-light-intensity-controlled-seamless-highway-lighting-,"Motivated by enormous highway-lighting energy consumption, smart lighting development is crucial to better manage available resources...",12 Mar 2020,"['Ibnu Febry Kurniawan, https://pureportal.coventry.ac.uk/en/persons/ibnu-febry-kurniawan']"
io-vnbd: inertial and odometry benchmark dataset for ground vehicle positioning,https://pureportal.coventry.ac.uk/en/publications/io-vnbd-inertial-and-odometry-benchmark-dataset-for-ground-vehicl-2,Low-cost Inertial Navigation Sensors (INS) can be exploited for a reliable solution for tracking autonomous vehicles in the absence of GPS signals...,15 Feb 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
learning to localise automated vehicles in challenging environments using inertial navigation systems (ins),https://pureportal.coventry.ac.uk/en/publications/learning-to-localise-automated-vehicles-in-challenging-environmen,An approach based on Artificial Neural Networks is proposed in this paper to improve the localisation accuracy of Inertial Navigation Systems (INS)/Global Navigation Satellite System (GNSS) based aided navigation during the absence of GNSS signals...,30 Jan 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
learning uncertainties in wheel odometry for vehicular localisation in gnss deprived environments,https://pureportal.coventry.ac.uk/en/publications/learning-uncertainties-in-wheel-odometry-for-vehicular-localisati,Inertial Navigation Systems (INS) are commonly used to localise vehicles in the absence of Global Navigation Satellite Systems (GNSS) signals...,Feb 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'Stavros Christopoulos, https://pureportal.coventry.ac.uk/en/persons/stavros-christopoulos']"
mobile computing and communications-driven fog-assisted disaster evacuation techniques for context-aware guidance support: a survey,https://pureportal.coventry.ac.uk/en/publications/mobile-computing-and-communications-driven-fog-assisted-disaster-,The importance of an optimal solution for disaster evacuation has recently raised attention from researchers across multiple disciplines...,10 Aug 2021,"['Ibnu Febry Kurniawan, https://pureportal.coventry.ac.uk/en/persons/ibnu-febry-kurniawan', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
msldock: multi-swarm optimization for flexible ligand docking and virtual screening,https://pureportal.coventry.ac.uk/en/publications/msldock-multi-swarm-optimization-for-flexible-ligand-docking-and-,"Autodock and its various variants are widely utilized docking approaches, which adopt optimization methods as search algorithms for flexible ligand docking and virtual screening...",4 Mar 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
multi-phase locking value: a generalized method for determining instantaneous multi-frequency phase coupling,https://pureportal.coventry.ac.uk/en/publications/multi-phase-locking-value-a-generalized-method-for-determining-in,"Many physical, biological and neural systems behave as coupled oscillators, with characteristic phase coupling across different frequencies...",20 Feb 2021,"['Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he', 'He, F., https://pureportal.coventry.ac.uk/en/persons/fei-he']"
nonlinear estimation of sensor faults with unknown dynamics for a fixed wing unmanned aerial vehicle,https://pureportal.coventry.ac.uk/en/publications/nonlinear-estimation-of-sensor-faults-with-unknown-dynamics-for-a,"In this paper, the estimation of additive inertial navigation sensor faults with unknown dynamics is considered with application to the longitudinal navigation and control of a fixed wing unmanned aerial vehicle...",19 Jul 2021,"['James Brusey, https://pureportal.coventry.ac.uk/en/persons/james-brusey']"
nonlinear system identification of neural systems from neurophysiological signals,https://pureportal.coventry.ac.uk/en/publications/nonlinear-system-identification-of-neural-systems-from-neurophysi-2,The human nervous system is one of the most complicated systems in nature...,11 Dec 2020,"['Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
novel lockstep-based fault mitigation approach for socs with roll-back and roll-forward recovery,https://pureportal.coventry.ac.uk/en/publications/novel-lockstep-based-fault-mitigation-approach-for-socs-with-roll,All-Programmable System-on-Chips (APSoCs) constitute a compelling option for employing applications in radiation environments thanks to their high-performance computing and power efficiency merits...,5 Aug 2021,"['Server Kasap, https://pureportal.coventry.ac.uk/en/persons/server-kasap']"
